date,max_real_balance_residual_kwh,max_real_state_residual_kwh,max_plan_state_residual_kwh,max_scenario_balance_residual_kwh,real_E_min_kwh,real_E_max_kwh,plan_E_min_kwh,plan_E_max_kwh,plan_terminal_gap_kwh,simultaneous_plan_periods,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-10-30,2.2737367544323206e-13,9.094947017729282e-13,1.8189894035458565e-12,5.151434834260726e-13,1529.0920287596246,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,824.6907437747442
2025-10-31,0.0,9.094947017729282e-13,1.7053025658242404e-12,2.6290081223123707e-13,2516.5461920332073,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,487.62166666666667
2025-11-01,0.0,8.526512829121202e-13,1.8189894035458565e-12,5.684341886080801e-13,2493.2094353669218,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,465.2955833333333
2025-11-02,2.2737367544323206e-13,9.094947017729282e-13,1.8189894035458565e-12,6.252776074688882e-13,1245.0354206432835,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,816.4891166666665
2025-11-03,0.0,9.094947017729282e-13,1.8189894035458565e-12,9.094947017729282e-13,1765.3656262891732,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,799.5476670015903
2025-11-04,2.2737367544323206e-13,9.094947017729282e-13,7.275957614183426e-12,4.547473508864641e-13,1288.022060347505,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-11-05,1.1368683772161603e-13,9.094947017729282e-13,8.526512829121202e-13,5.115907697472721e-13,1588.251817485791,10800.0,1200.0,10800.000000000004,0.0,0,0,0,0,833.3333333333333,823.3283333333334
2025-11-06,1.1368683772161603e-13,6.821210263296962e-13,1.8189894035458565e-12,2.2595258997171186e-12,1602.8440221940027,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,800.8814626121051
2025-11-07,0.0,9.094947017729282e-13,9.094947017729282e-13,5.115907697472721e-13,2385.015719052763,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,491.60833333333335
2025-11-08,0.0,9.094947017729282e-13,2.660982545421575e-12,3.410605131648481e-13,2068.874221699132,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,481.41166666666663
2025-11-09,0.0,9.094947017729282e-13,1.8189894035458565e-12,3.410605131648481e-13,1575.7643544764226,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,807.0933333333334
2025-11-10,1.1368683772161603e-13,9.094947017729282e-13,1.4779288903810084e-12,4.547473508864641e-13,1459.8420449406258,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,817.6947029673403
2025-11-11,1.1368683772161603e-13,7.958078640513122e-13,1.5631940186722204e-12,3.694822225952521e-13,1672.7464920938692,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,799.3095196398822
